Postcode,Cost
3000,520.0
3002,642.5
3003,520.0
3004,550.0
3006,551.5
3008,580.0
3011,420.0
3012,420.0
3013,560.0
3015,480.0
3016,550.0
3018,450.0
3019,390.0
3020,380.0
3021,360.0
3022,390.0
3023,410.0
3024,390.0
3025,460.0
3026,450.0
3027,437.5
3028,360.0
3029,420.0
3030,420.0
3031,515.0
3032,445.0
3033,450.0
3034,445.0
3036,550.0
3037,400.0
3038,425.0
3039,485.0
3040,450.0
3041,495.0
3042,450.0
3043,420.0
3044,435.0
3046,430.0
3047,360.0
3048,385.0
3049,400.0
3051,500.0
3052,497.5
3053,450.0
3054,630.0
3055,422.5
3056,500.0
3057,450.0
3058,460.0
3059,475.0
3060,392.5
3061,250.0
3063,500.0
3064,450.0
3065,640.0
3066,500.0
3067,545.0
3068,600.0
3070,550.0
3071,400.0
3072,450.0
3073,405.0
3074,380.0
3075,385.0
3076,400.0
3078,485.0
3079,495.0
3081,450.0
3082,420.0
3083,390.0
3084,520.0
3085,380.0
3087,485.0
3088,490.0
3089,520.0
3090,700.0
3093,490.0
3094,450.0
3095,525.0
3099,500.0
3101,522.5
3102,582.5
3103,545.0
3104,620.0
3105,477.5
3106,557.5
3107,625.0
3108,480.0
3109,500.0
3111,525.0
3113,670.0
3114,595.0
3115,460.0
3116,475.0
3121,597.5
3122,455.0
3123,500.0
3124,625.0
3125,400.0
3126,775.0
3127,527.5
3128,450.0
3129,500.0
3130,450.0
3131,487.5
3132,455.0
3133,525.0
3134,450.0
3135,450.0
3136,462.5
3137,475.0
3138,485.0
3139,550.0
3140,450.0
3141,530.0
3142,590.0
3143,490.0
3144,650.0
3145,500.0
3146,405.0
3147,512.5
3148,505.0
3149,520.0
3150,580.0
3151,465.0
3152,530.0
3153,420.0
3154,450.0
3155,450.0
3156,475.0
3158,655.0
3161,480.0
3162,510.0
3163,410.0
3165,650.0
3166,522.5
3167,485.0
3168,490.0
3169,460.0
3170,480.0
3171,400.0
3172,460.0
3173,520.0
3174,380.0
3175,380.0
3177,395.0
3178,477.5
3179,480.0
3180,525.0
3181,500.0
3182,450.0
3183,485.0
3184,470.0
3185,470.0
3186,695.0
3187,925.0
3188,695.0
3189,500.0
3190,480.0
3191,500.0
3192,550.0
3193,850.0
3194,440.0
3195,475.0
3196,450.0
3197,600.0
3198,420.0
3199,415.0
3200,390.0
3201,440.0
3202,455.0
3204,550.0
3205,615.0
3206,827.5
3207,650.0
3211,750.0
3212,490.0
3213,775.0
3214,370.0
3215,420.0
3216,460.0
3217,497.5
3218,440.0
3219,420.0
3220,480.0
3222,460.0
3223,650.0
3224,460.0
3225,600.0
3226,520.0
3227,662.5
3228,580.0
3230,590.0
3233,310.0
3239,450.0
3241,417.5
3249,860.0
3250,385.0
3260,350.0
3270,650.0
3272,365.0
3273,300.0
3277,40.0
3280,380.0
3284,440.0
3285,500.0
3287,260.0
3289,265.0
3300,330.0
3302,400.0
3305,390.0
3315,270.0
3318,230.0
3331,815.0
3335,420.0
3337,360.0
3338,390.0
3340,415.0
3341,350.0
3342,420.0
3350,395.0
3351,450.0
3352,445.0
3355,377.5
3356,377.5
3357,350.0
3361,310.0
3363,375.0
3373,370.0
3374,320.0
3377,315.0
3380,317.5
3390,300.0
3393,295.0
3396,255.0
3400,320.0
3409,200.0
3414,245.0
3418,250.0
3424,115.0
3427,420.0
3429,437.5
3431,460.0
3433,520.0
3434,400.0
3435,530.0
3437,480.0
3438,620.0
3440,500.0
3442,465.0
3444,420.0
3450,452.5
3451,450.0
3453,495.0
3458,540.0
3460,505.0
3461,517.5
3463,380.0
3465,300.0
3478,365.0
3490,220.0
3496,322.5
3498,455.0
3500,360.0
3523,460.0
3525,350.0
3537,280.0
3540,240.0
3550,430.0
3551,460.0
3555,445.0
3556,435.0
3562,295.0
3564,1495.165
3568,518.5
3579,260.0
3585,340.0
3586,420.0
3616,422.5
3620,320.0
3621,1825.0
3629,370.0
3630,380.0
3631,480.0
3634,390.0
3641,277.5
3644,350.0
3658,412.5
3659,900.0
3660,355.0
3670,490.0
3672,450.0
3677,430.0
3678,400.0
3685,570.0
3688,650.0
3690,400.0
3691,587.5
3697,500.0
3698,410.0
3700,470.0
3701,290.0
3707,350.0
3711,450.0
3713,250.0
3714,315.0
3717,600.0
3722,435.0
3723,370.0
3726,450.0
3728,415.0
3730,420.0
3737,260.0
3747,500.0
3750,450.0
3752,420.0
3753,440.0
3754,435.0
3755,650.0
3756,410.0
3757,880.0
3759,1200.0
3763,390.0
3764,400.0
3765,450.0
3766,510.0
3767,750.0
3775,795.0
3777,420.0
3779,450.0
3783,425.0
3788,780.0
3791,480.0
3796,250.0
3799,200.0
3802,460.0
3803,430.0
3804,665.0
3805,435.0
3806,470.0
3807,515.0
3808,680.0
3809,450.0
3810,440.0
3814,380.0
3815,505.0
3816,435.0
3818,450.0
3820,465.0
3823,550.0
3824,280.0
3825,320.0
3840,340.0
3842,320.0
3844,390.0
3847,400.0
3850,420.0
3851,1175.0
3858,381.0
3860,380.0
3862,480.0
3865,450.0
3869,380.0
3871,360.0
3875,390.0
3878,550.0
3880,430.0
3888,450.0
3903,310.0
3904,550.0
3909,345.0
3910,520.0
3911,350.0
3912,485.0
3913,475.0
3915,420.0
3918,772.5
3922,435.0
3925,400.0
3926,627.5
3927,720.0
3929,2650.0
3930,635.0
3931,635.0
3934,670.0
3936,650.0
3937,1037.5
3938,535.0
3939,525.0
3940,480.0
3941,550.0
3942,500.0
3943,712.5
3944,1800.0
3945,480.0
3950,302.5
3953,250.0
3956,420.0
3960,345.0
3971,550.0
3975,485.0
3976,420.0
3977,460.0
3978,485.0
3980,550.0
3981,420.0
3984,422.5
3987,550.0
3995,380.0
3996,430.0
